feature,context_id,context_change,context_changed_level_v51_marginal_exposure_share,quantile,value,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.05,7.0,1.3091581300436597,1.1614758213937173,-0.11969282550045172
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.1,10.0,1.2446753451532506,1.0549018429203854,-0.1654270062522186
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.2,14.0,1.1636116487135388,1.0413526476952888,-0.11100816765476798
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.3,17.0,1.1062977781290382,1.0091541377310722,-0.0919066131068614
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.4,20.0,1.051806911048334,1.0044785935533145,-0.0460409583417146
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.5,23.0,1.0,1.0,0.0
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.6,27.0,0.934871613906893,1.006788343493204,0.07411147688513435
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.7,32.0,0.8593932529857155,1.0014105660297299,0.15293823063085163
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.8,36.0,0.8034223573994506,0.9673202516159145,0.18564907118374108
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.9,41.0,0.73855676327737,0.9387289082500035,0.23982877296402916
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.95,44.0,0.7021790363986596,0.9552684292038527,0.3078039695719854
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.05,7.0,1.3091581300436599,1.2858205642628993,-0.017987195846126815
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.1,10.0,1.244675345153251,1.026596422803873,-0.19262584233609317
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.2,14.0,1.163611648713539,1.0214999225886847,-0.13025659902130501
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.3,17.0,1.1062977781290384,1.0105855162525665,-0.09048922373362549
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.4,20.0,1.0518069110483341,1.0047768790664016,-0.04574404685450661
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.5,23.0,1.0,1.0,0.0
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.6,27.0,0.9348716139068931,1.0018031220128796,0.0691475687909167
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.7,32.0,0.8593932529857156,0.999529326634669,0.15105787434803125
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.8,36.0,0.8034223573994509,0.9534279230744397,0.1711832802157048
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.9,41.0,0.73855676327737,0.9117540068701658,0.2106722624293523
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.95,44.0,0.7021790363986598,0.9142170299081033,0.2638795848183454
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.05,7.0,1.30915813004366,1.2908433952146496,-0.014088482321212388
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.1,10.0,1.2446753451532508,1.037922225191655,-0.1816538745904184
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.2,14.0,1.1636116487135388,1.021140623343625,-0.13060839782357644
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.3,17.0,1.106297778129038,1.00511377120906,-0.09591836538959918
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.4,20.0,1.0518069110483341,1.001014896200947,-0.04949517129629456
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.5,23.0,1.0,1.0,0.0
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.6,27.0,0.9348716139068932,1.0067882894941544,0.07411142325017568
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.7,32.0,0.8593932529857155,1.001410518335265,0.15293818300356715
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.8,36.0,0.8034223573994508,1.0018857786914261,0.22075873180888986
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.9,41.0,0.73855676327737,0.963767555826658,0.2661521789217196
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.95,44.0,0.7021790363986598,0.963767555826658,0.31666173175999923
