fold_id,feature,point_type,point_key,value_or_level,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity,v51_full_fit_log_gap
2,age_driving_licence,numeric,q0.90,31.0,1.0083889516940074,1.047639782940519,0.03818584824756654,0.1112686772891644
2,age_driving_licence,numeric,q0.95,37.0,1.013456064802381,1.094253765602472,0.07670630234904677,0.1706896171757457
2,vehicle_value,numeric,q0.05,12739.125,0.9546975892045784,0.9393111575490846,-0.01624783430569651,-0.0134959205977478
2,vehicle_value,numeric,q0.10,14610.75,0.9616524581621115,0.9434026494246116,-0.01915993606511404,-0.0155921860054404
2,vehicle_value,numeric,q0.20,17388.0,0.9720660658745899,1.02039167474545,0.048518056262212964,0.0174147418015308
2,vehicle_value,numeric,q0.30,19732.3854,0.9809443236203321,1.0277285418087594,0.0465906435201867,0.0339374674331098
2,vehicle_value,numeric,q0.40,22272.252975,0.9906544140087943,1.0028361905176881,0.012221706100465567,0.0122699696523222
2,vehicle_value,numeric,q0.50,24693.375,1.0,1.0,0.0,0.0
2,vehicle_value,numeric,q0.60,27265.35,1.0100244756858168,0.9982568846598114,-0.0117192002453403,-0.0115408452587285
2,vehicle_value,numeric,q0.70,30429.0,1.0224929824818016,1.0180538720075178,-0.004350909627353487,-0.017201441621345
2,vehicle_value,numeric,q0.80,34497.9369,1.03875594136308,1.0339033556336377,-0.0046824816821613435,-0.0098809730709212
2,vehicle_value,numeric,q0.90,41658.75,1.0680073885876402,1.0518632698709152,-0.01523152440441083,-0.0266863790572246
2,vehicle_value,numeric,q0.95,49666.33455,1.1016945082823801,1.0384994802162477,-0.05907259276468516,-0.0219636947962022
2,seats,numeric,q0.05,4.0,0.9969504841821514,1.0289282775064033,0.03157192832863775,0.0723160399119837
2,seats,numeric,q0.10,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.20,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.30,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.40,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.50,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.60,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.70,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.80,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.90,5.0,1.0,1.0,0.0,0.0
2,seats,numeric,q0.95,7.0,1.0061270441463224,0.995621383397591,-0.010496580950838058,-0.0151109661332578
2,power_to_weight_ratio,numeric,q0.05,8.68,0.9768288208520128,1.0495140417545776,0.0717710909039843,0.0486197891992534
